type,name,latitude_deg,longitude_deg,continent,iso_country,iso_region,iata_code
medium_airport,Metz-Nancy-Lorraine Airport,48.98210144,6.251319885,EU,FR,FR-M,ETZ
medium_airport,Angers-Loire Airport,47.56029892,-0.3122220039,EU,FR,FR-R,ANE
small_airport,Albertville Airport,45.62720108,6.32972002,EU,FR,FR-V,XAV
medium_airport,Bastia-Poretta Airport,42.55270004,9.483730316,EU,FR,FR-H,BIA
medium_airport,Calvi-Sainte-Catherine Airport,42.53079987,8.793190002,EU,FR,FR-H,CLY
medium_airport,Figari Sud-Corse Airport,41.50059891,9.097780228,EU,FR,FR-H,FSC
medium_airport,Ajaccio-Napoléon Bonaparte Airport,41.92359924,8.802920341,EU,FR,FR-H,AJA
small_airport,Propriano Airport,41.66059875,8.889749527,EU,FR,FR-H,PRP
medium_airport,Solenzara (BA 126) Air Base,41.92440033,9.406000137,EU,FR,FR-H,SOZ
small_airport,Méribel Airport,45.4068985,6.580560207,EU,FR,FR-V,MFX
medium_airport,Auxerre-Branches Airport,47.85020065,3.49710989,EU,FR,FR-D,AUF
medium_airport,Chambéry-Savoie Airport,45.63809967,5.88022995,EU,FR,FR-V,CMF
medium_airport,Clermont-Ferrand Auvergne Airport,45.7867012,3.169169903,EU,FR,FR-C,CFE
medium_airport,Bourges Airport,47.05810165,2.370280027,EU,FR,FR-F,BOU
medium_airport,Annemasse Airport,46.19200134,6.268390179,EU,FR,FR-V,QNJ
small_airport,Courchevel Airport,45.39670181,6.634719849,EU,FR,FR-V,CVF
medium_airport,Lyon Saint-Exupéry Airport,45.72639847,5.090829849,EU,FR,FR-V,LYS
medium_airport,Mâcon-Charnay Airport,46.29510117,4.795770168,EU,FR,FR-D,QNX
medium_airport,Saint-Yan Airport,46.41249847,4.013259888,EU,FR,FR-D,SYT
medium_airport,Roanne-Renaison Airport,46.05830002,4.00138998,EU,FR,FR-V,RNE
medium_airport,Annecy-Haute-Savoie-Mont Blanc Airport,45.92919922,6.098760128,EU,FR,FR-V,NCY
small_airport,Montélimar - Ancône Airport,44.58359909,4.740560055,EU,FR,FR-V,XMK
medium_airport,Grenoble-Isère Airport,45.36289978,5.329370022,EU,FR,FR-V,GNB
medium_airport,Valence-Chabeuil Airport,44.92160034,4.969900131,EU,FR,FR-V,VAF
medium_airport,Vichy-Charmeil Airport,46.16970062,3.403739929,EU,FR,FR-C,VHY
medium_airport,Aurillac Airport,44.89139938,2.421940088,EU,FR,FR-C,AUR
medium_airport,"Châteauroux-Déols ""Marcel Dassault"" Airport",46.86220169,1.730669975,EU,FR,FR-F,CHR
medium_airport,Lyon-Bron Airport,45.72719955,4.944270134,EU,FR,FR-V,LYN
medium_airport,Cannes-Mandelieu Airport,43.54199982,6.953479767,EU,FR,FR-U,CEQ
medium_airport,Saint-Étienne-Bouthéon Airport,45.54059982,4.296390057,EU,FR,FR-V,EBU
